IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_1_CODE,DIM_MEMBER_1_CODE,DIM_MEMBER_1,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_NUMERIC_LOWER,VALUE_NUMERIC_UPPER,VALUE_COMMENTS,DIM_PUBLISH_STATE_CODE
EE6F72A,Alcohol consumption (age 15+),SA_0000001688,11,Western Africa,2000,YEAR,DIM_SEX,TOTAL,Total,RATE_PER_CAPITA,5.56636,4.19442,7.09347,WHO Global Information System on Alcohol and Health (GISAH),PUBLISHED
EE6F72A,Alcohol consumption (age 15+),SA_0000001688,11,Western Africa,2000,YEAR,DIM_SEX,FEMALE,Female,RATE_PER_CAPITA,1.94894,1.47438,2.50247,WHO Global Information System on Alcohol and Health (GISAH),PUBLISHED
EE6F72A,Alcohol consumption (age 15+),SA_0000001688,11,Western Africa,2000,YEAR,DIM_SEX,MALE,Male,RATE_PER_CAPITA,9.24325,6.93832,11.76668,WHO Global Information System on Alcohol and Health (GISAH),PUBLISHED
EE6F72A,Alcohol consumption (age 15+),SA_0000001688,13,Central America,2000,YEAR,DIM_SEX,TOTAL,Total,RATE_PER_CAPITA,5.45966,3.55647,7.35149,WHO Global Information System on Alcohol and Health (GISAH),PUBLISHED
EE6F72A,Alcohol consumption (age 15+),SA_0000001688,13,Central America,2000,YEAR,DIM_SEX,FEMALE,Female,RATE_PER_CAPITA,2.23777,1.4391,3.05796,WHO Global Information System on Alcohol and Health (GISAH),PUBLISHED
EE6F72A,Alcohol consumption (age 15+),SA_0000001688,13,Central America,2000,YEAR,DIM_SEX,MALE,Male,RATE_PER_CAPITA,8.91299,5.79997,11.98487,WHO Global Information System on Alcohol and Health (GISAH),PUBLISHED
EE6F72A,Alcohol consumption (age 15+),SA_0000001688,14,Eastern Africa,2000,YEAR,DIM_SEX,TOTAL,Total,RATE_PER_CAPITA,4.65697,3.9137,5.46817,WHO Global Information System on Alcohol and Health (GISAH),PUBLISHED
EE6F72A,Alcohol consumption (age 15+),SA_0000001688,14,Eastern Africa,2000,YEAR,DIM_SEX,FEMALE,Female,RATE_PER_CAPITA,1.7258,1.45132,2.03278,WHO Global Information System on Alcohol and Health (GISAH),PUBLISHED
EE6F72A,Alcohol consumption (age 15+),SA_0000001688,14,Eastern Africa,2000,YEAR,DIM_SEX,MALE,Male,RATE_PER_CAPITA,7.75,6.50405,9.1066,WHO Global Information System on Alcohol and Health (GISAH),PUBLISHED
EE6F72A,Alcohol consumption (age 15+),SA_0000001688,142,Asia,2000,YEAR,DIM_SEX,TOTAL,Total,RATE_PER_CAPITA,2.89602,2.12494,3.75237,WHO Global Information System on Alcohol and Health (GISAH),PUBLISHED
EE6F72A,Alcohol consumption (age 15+),SA_0000001688,142,Asia,2000,YEAR,DIM_SEX,FEMALE,Female,RATE_PER_CAPITA,1.1192,0.83253,1.45352,WHO Global Information System on Alcohol and Health (GISAH),PUBLISHED
EE6F72A,Alcohol consumption (age 15+),SA_0000001688,142,Asia,2000,YEAR,DIM_SEX,MALE,Male,RATE_PER_CAPITA,4.63208,3.38054,5.99216,WHO Global Information System on Alcohol and Health (GISAH),PUBLISHED
